ID,Action,Access_path,timestamp,preference,ItemID
5008,View,facebook,1989-05-05,2,3011
347,View,google,1991-07-13,8,1040
2869,View,facebook,1981-06-08,6,6179
9049,View,instagram,1978-02-24,3,861
5891,View,naver,1983-02-07,7,2452
6961,View,etc,2011-09-19,5,2768
6086,View,facebook,2005-01-25,4,2884
5764,AddtoCart,direct,1988-05-01,1,7666
116,View,etc,2005-10-22,2,730
4957,AddtoCart,google,2011-09-06,4,9653
277,AddtoCart,naver,1973-12-21,3,9095
4465,AddtoCart,google,2017-01-04,2,8620
5630,AddtoCart,facebook,1975-07-14,1,9484
3851,View,direct,1988-11-02,1,492
9304,View,naver,1998-07-30,5,4160
59,View,instagram,1988-02-07,6,8289
6093,AddtoCart,instagram,2014-04-14,4,4894
5491,View,facebook,1980-10-12,7,3035
7055,AddtoCart,facebook,1977-08-15,2,7532
6489,View,direct,1997-01-27,6,3588
8334,ItemSearch,direct,1985-01-02,8,4622
524,View,instagram,1992-02-07,1,676
263,AddtoCart,etc,2012-12-14,3,6624
1550,View,naver,1983-07-09,6,5178
8417,View,google,1983-02-03,6,8628
1499,AddtoCart,facebook,1997-11-09,2,2242
314,ItemSearch,naver,2006-04-30,5,9548
4623,View,direct,1981-02-28,8,9810
6353,Buy,instagram,1975-04-22,9,307
4692,View,facebook,1975-11-12,5,5612
9487,View,facebook,1976-10-16,9,663
1808,AddtoCart,etc,1979-04-03,1,7675
484,Buy,naver,1993-03-14,8,4936
2924,AddtoCart,naver,1990-08-10,3,4295
4776,Buy,google,1995-07-10,8,5688
6091,AddtoCart,etc,1984-10-02,1,61
6160,View,direct,2022-08-23,8,8883
6360,View,facebook,1972-11-05,2,6261
3705,View,naver,2004-12-06,7,3128
9066,View,google,1984-07-24,5,2074
1087,View,instagram,1973-10-11,7,3179
6336,View,etc,2022-09-23,9,2119
5125,View,etc,2006-10-21,4,9711
8196,View,naver,1988-08-02,1,7307
656,View,direct,1976-12-14,1,2909
8427,AddtoCart,google,2004-04-18,9,3198
4215,AddtoCart,instagram,2000-12-31,3,2375
9953,View,etc,1975-08-15,8,2120
1271,Buy,direct,1990-08-26,2,7472
327,ItemSearch,direct,1974-11-27,5,2226
4202,View,google,2015-05-13,2,223
5021,Buy,google,2016-12-13,3,8145
6784,View,etc,1985-10-20,7,8286
