[2023-09-15T15:41:13.774+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: eCommerce_ETL_dag.branching manual__2023-09-15T15:41:10.497401+00:00 [queued]>
[2023-09-15T15:41:13.785+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: eCommerce_ETL_dag.branching manual__2023-09-15T15:41:10.497401+00:00 [queued]>
[2023-09-15T15:41:13.786+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2023-09-15T15:41:13.806+0000] {taskinstance.py:1327} INFO - Executing <Task(BranchPythonOperator): branching> on 2023-09-15 15:41:10.497401+00:00
[2023-09-15T15:41:13.813+0000] {standard_task_runner.py:57} INFO - Started process 561 to run task
[2023-09-15T15:41:13.819+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'eCommerce_ETL_dag', 'branching', 'manual__2023-09-15T15:41:10.497401+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/workflow.py', '--cfg-path', '/tmp/tmp6o5oqoss']
[2023-09-15T15:41:13.824+0000] {standard_task_runner.py:85} INFO - Job 11: Subtask branching
[2023-09-15T15:41:13.891+0000] {task_command.py:410} INFO - Running <TaskInstance: eCommerce_ETL_dag.branching manual__2023-09-15T15:41:10.497401+00:00 [running]> on host 228226a2581e
[2023-09-15T15:41:13.989+0000] {taskinstance.py:1545} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='eCommerce_ETL_dag' AIRFLOW_CTX_TASK_ID='branching' AIRFLOW_CTX_EXECUTION_DATE='2023-09-15T15:41:10.497401+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-09-15T15:41:10.497401+00:00'
[2023-09-15T15:41:14.021+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'log', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.044+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'callback_request', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.047+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_statistic_ext_data', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.051+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_roles', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.053+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'import_error', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.055+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.056+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_file_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.057+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_hba_file_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.059+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'sla_miss', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.060+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_config', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.061+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_shmem_allocations', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.063+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'variable', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.064+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'public', 'serialized_dag', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.065+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_prepared_statements', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.067+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_largeobject', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.068+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_user_mapping', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.070+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_stat_progress_vacuum', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.071+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_replication_origin_status', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.072+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_subscription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.074+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_attribute', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.076+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_proc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.077+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_class', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.078+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_attrdef', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.079+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_constraint', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.082+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_inherits', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.083+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_index', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.084+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_operator', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.085+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_opfamily', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.086+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_opclass', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.087+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_am', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.088+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_amop', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.090+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_amproc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.091+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_language', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.092+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_largeobject_metadata', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.093+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_aggregate', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.095+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_statistic_ext', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.096+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_rewrite', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.097+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.104+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_event_trigger', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.106+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_description', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.107+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_cast', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.109+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_stat_progress_cluster', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.110+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_stat_progress_create_index', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.111+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_stat_progress_basebackup', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.114+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_user_mappings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.115+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_enum', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.117+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_namespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.119+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_conversion', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.120+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_depend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.123+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_database', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.125+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_db_role_setting', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.128+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_tablespace', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.130+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_auth_members', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.132+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_shdepend', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.134+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_shdescription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.136+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_ts_config', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.137+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_ts_config_map', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.138+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_ts_dict', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.141+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_ts_parser', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.143+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_ts_template', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.144+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_extension', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.145+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_foreign_data_wrapper', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.147+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_foreign_server', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.148+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_policy', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.150+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_replication_origin', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.152+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_default_acl', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.153+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_init_privs', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.154+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_seclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.157+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_shseclabel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.158+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_collation', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.159+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_partitioned_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.160+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_range', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.161+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_transform', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.163+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_sequence', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.164+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_publication', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.165+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_publication_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.167+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_subscription_rel', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.169+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_group', 'VIEW', None, None, None, None, None, 'YES', 'NO', None)
[2023-09-15T15:41:14.170+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_user', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.171+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_policies', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.174+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.176+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_views', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.178+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.180+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_matviews', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.181+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_indexes', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.184+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_sequences', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.186+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_stats', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.187+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_stats_ext', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.188+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_publication_tables', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.189+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_locks', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2023-09-15T15:41:14.190+0000] {logging_mixin.py:150} INFO - !!!!!!!!!!!!!!! CHECK TABLE : ('ecommerce_db', 'pg_catalog', 'pg_cursors', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
